                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2758,                0.77728,                 1.2064,                0.85207,                0.81392,                0.87564,                0.42485,                  1.754,                0.94109,                   1.55,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2722,                0.79798,                 1.2215,                0.85375,                0.78261,                0.87276,                0.46095,                 1.6044,                0.87555,                 1.4995,               0.001307,               0.001307,               0.001307
                     37,                 1.2212,                0.74518,                 1.1878,                 0.8631,                0.80435,                0.86239,                0.41693,                 1.7676,                0.89796,                 1.6233,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2744,                0.75142,                 1.1986,                0.84992,                0.86182,                0.89622,                0.46381,                 1.6279,                0.91849,                 1.5011,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2866,                0.75892,                 1.2082,                0.79782,                0.90075,                0.89826,                0.47759,                 1.5353,                0.87545,                 1.4774,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2179,                0.71097,                 1.1792,                0.83114,                0.85602,                0.87627,                0.45432,                 1.6938,                0.93027,                 1.5447,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2266,                0.69777,                 1.1844,                0.91787,                0.83696,                0.92465,                0.47993,                 1.6097,                0.79149,                 1.4899,               0.001208,               0.001208,               0.001208
                     42,                 1.1905,                0.71886,                  1.184,                0.91504,                0.83696,                0.90937,                0.47237,                 1.5714,                0.88334,                 1.4998,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2017,                0.69918,                 1.1597,                0.91116,                 0.8918,                0.93482,                 0.5138,                 1.5584,                0.82658,                 1.4764,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.202,                0.70822,                  1.174,                0.87093,                0.88016,                 0.9276,                0.49438,                 1.6179,                0.80529,                 1.4902,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1958,                0.72923,                 1.1761,                0.86529,                 0.9077,                0.93646,                0.47276,                 1.6209,                 0.8122,                 1.5225,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1582,                0.68926,                 1.1586,                0.91778,                0.84928,                 0.9264,                0.50758,                 1.5373,                0.83364,                 1.4714,               0.001109,               0.001109,               0.001109
                     47,                 1.1537,                0.67138,                 1.1399,                0.87709,                0.81522,                0.86346,                0.47614,                 1.5453,                0.81094,                 1.4936,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1676,                0.66098,                   1.14,                0.92658,                0.83696,                0.93034,                0.48419,                 1.5658,                0.80676,                 1.4993,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.166,                0.68515,                 1.1536,                0.87026,                0.87498,                0.92268,                0.49786,                  1.596,                0.78279,                 1.5237,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0883,                0.66497,                 1.1291,                0.93177,                 0.8913,                 0.9494,                0.52489,                 1.5377,                0.77414,                 1.4566,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1417,                0.65992,                  1.139,                0.89327,                0.90976,                0.93373,                0.50617,                 1.5475,                0.77019,                  1.448,                0.00101,                0.00101,                0.00101
                     52,                 1.1447,                0.67952,                 1.1526,                0.91782,                0.84979,                0.90584,                0.49198,                 1.6156,                0.82163,                 1.5163,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0602,                0.63795,                 1.0956,                0.97312,                0.83696,                0.92816,                0.49666,                   1.57,                0.78304,                 1.4726,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.126,                0.65612,                 1.1457,                0.87682,                0.88043,                0.92705,                0.49463,                 1.5966,                0.74823,                 1.5387,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1188,                0.62704,                 1.1265,                0.95567,                0.88043,                0.95939,                0.51395,                 1.5769,                0.73808,                 1.4878,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0795,                0.64868,                 1.1032,                0.90805,                0.90217,                0.92537,                 0.4893,                 1.5669,                0.73319,                 1.5264,               0.000911,               0.000911,               0.000911
                     57,                  1.109,                0.65188,                 1.1142,                0.87461,                 0.8913,                0.92836,                0.50857,                 1.4857,                0.77148,                 1.3964,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0687,                0.63996,                 1.1119,                0.94028,                0.90217,                0.91529,                0.48045,                 1.5338,                0.78413,                 1.4914,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0797,                0.63562,                 1.1322,                0.91957,                0.91304,                0.93971,                0.51241,                 1.5436,                0.74904,                 1.4984,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0388,                0.61131,                 1.0669,                0.95229,                0.86793,                0.92273,                0.50625,                  1.517,                0.77376,                   1.48,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0832,                0.62464,                 1.1296,                0.95346,                0.89079,                0.93488,                 0.4958,                 1.5535,                0.73141,                  1.474,               0.000812,               0.000812,               0.000812
                     62,                 1.0963,                0.60451,                 1.1155,                0.92214,                 0.8913,                0.93967,                0.48475,                 1.6277,                0.72693,                 1.5223,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0772,                0.61623,                 1.1149,                 0.8754,                0.86957,                0.88623,                0.50002,                 1.5056,                0.74351,                 1.4664,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0176,                0.60243,                 1.0826,                0.96449,                0.88575,                0.93056,                0.47874,                 1.5772,                0.74778,                 1.5281,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0426,                0.58513,                 1.1014,                0.94041,                0.85767,                0.92898,                0.50857,                 1.5589,                0.74524,                 1.4726,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0268,                0.58011,                 1.1027,                0.91067,                0.91304,                0.94876,                0.51725,                 1.5365,                0.69646,                 1.4778,               0.000713,               0.000713,               0.000713
                     67,                0.98987,                0.56111,                 1.0831,                0.92093,                0.88619,                0.94072,                0.51644,                 1.5056,                0.69708,                 1.4687,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0168,                0.57264,                 1.0962,                0.91793,                  0.851,                0.91145,                0.48273,                  1.611,                0.73715,                 1.5282,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0367,                0.58921,                 1.0843,                0.87106,                0.86957,                0.89307,                0.49867,                 1.5521,                0.74823,                 1.5131,              0.0006536,              0.0006536,              0.0006536
